anio,cveestado,estado,cveddr,ddr,cvecader,cader,cvempio,municipio,cvecultivo,cultivo,cvevariedad,variedad,cveunidad,unidadmedida,cveciclo,ciclo,cvemoda,modalidad,sembrada,cosechada,siniestrada,produccion,rendimiento,pmr,valor
2011,25,SINALOA,133,LOS MOCHIS,7,LOS MOCHIS,1,AHOME,11400,CHILE VERDE,1200,BELL PEPPER,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,30.0,10.0,20.0,190.0,19.0,3500.0,665000.0
2011,25,SINALOA,133,LOS MOCHIS,7,LOS MOCHIS,1,AHOME,14200,FRIJOL,100,AZUFRADO,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,4548.0,3866.0,682.0,4639.2,1.2,12000.0,55670400.0
2011,25,SINALOA,133,LOS MOCHIS,7,LOS MOCHIS,1,AHOME,14200,FRIJOL,500,MAYOCOBA,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,700.0,595.0,105.0,714.0,1.2,12000.0,8568000.0
2011,25,SINALOA,133,LOS MOCHIS,7,LOS MOCHIS,1,AHOME,14700,GARBANZO GRANO,100,BLANCO,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,597.0,277.0,320.0,396.0,1.43,14000.0,5544000.0
2011,25,SINALOA,133,LOS MOCHIS,7,LOS MOCHIS,1,AHOME,16930,HORTALIZAS,0,,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,258.0,20.0,238.0,90.0,4.5,2500.0,225000.0
2011,25,SINALOA,133,LOS MOCHIS,7,LOS MOCHIS,1,AHOME,19700,MAIZ GRANO,100,AMARILLO,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,125.0,24.0,101.0,180.0,7.5,2500.0,450000.0
2011,25,SINALOA,133,LOS MOCHIS,7,LOS MOCHIS,1,AHOME,19700,MAIZ GRANO,200,BLANCO,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,34652.78,21470.78,13182.0,154589.62,7.2,3650.0,564252113.0
2011,25,SINALOA,133,LOS MOCHIS,7,LOS MOCHIS,1,AHOME,20400,MANGO,500,KENT,500,Tonelada,3,PERENNES,1,RIEGO,99.0,0.0,99.0,0.0,0.0,0.0,0.0
2011,25,SINALOA,133,LOS MOCHIS,7,LOS MOCHIS,1,AHOME,24400,PAPA,100,ALPHA (Blanca),500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,7291.0,7291.0,0.0,171669.0,23.55,5000.0,858345000.0
2011,25,SINALOA,133,LOS MOCHIS,7,LOS MOCHIS,1,AHOME,24800,PASTOS Y PRADERAS EN VERDE,0,,500,Tonelada,3,PERENNES,1,RIEGO,183.0,183.0,0.0,1427.4,7.8,700.0,999180.0
2011,25,SINALOA,133,LOS MOCHIS,7,LOS MOCHIS,1,AHOME,24900,PEPINO,0,,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,98.0,98.0,0.0,2058.0,21.0,2000.0,4116000.0
2011,25,SINALOA,133,LOS MOCHIS,7,LOS MOCHIS,1,AHOME,29500,SORGO GRANO,0,,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,16245.05,16245.05,0.0,131259.28,8.08,3500.0,459407480.0
2011,25,SINALOA,133,LOS MOCHIS,7,LOS MOCHIS,1,AHOME,30800,TOMATE ROJO (JITOMATE),800,SALADETTE,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,666.0,232.0,434.0,4756.0,20.5,2000.0,9512000.0
2011,25,SINALOA,133,LOS MOCHIS,7,LOS MOCHIS,1,AHOME,31000,TOMATE VERDE,0,,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,734.0,480.0,254.0,5088.0,10.6,1400.0,7123200.0
2011,25,SINALOA,133,LOS MOCHIS,7,LOS MOCHIS,1,AHOME,31500,TRIGO GRANO,100,CRISTALINO,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,8.0,8.0,0.0,37.0,4.63,3750.0,138750.0
2011,25,SINALOA,133,LOS MOCHIS,7,LOS MOCHIS,1,AHOME,32250,VARIOS,0,,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,24.0,0.0,24.0,0.0,0.0,0.0,0.0
2011,25,SINALOA,133,LOS MOCHIS,7,LOS MOCHIS,1,AHOME,32250,VARIOS,0,,500,Tonelada,2,PRIMAVERA-VERANO,1,RIEGO,461.0,461.0,0.0,3504.0,7.6,3500.0,12264000.0
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,11,GUASAVE,1600,ALFALFA ACHICALADA,0,,500,Tonelada,3,PERENNES,1,RIEGO,105.0,105.0,0.0,1884.75,17.95,2250.0,4240687.5
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,11,GUASAVE,1800,ALGODÓN HUESO,0,,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,512.0,0.0,512.0,0.0,0.0,0.0,0.0
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,11,GUASAVE,5800,CALABACITA,200,ITALIANA (Zucchini),500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,115.0,115.0,0.0,2082.0,18.1,2435.16,5070003.12
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,11,GUASAVE,6500,CAÑA DE AZUCAR,200,INDUSTRIAL,500,Tonelada,3,PERENNES,1,RIEGO,248.0,124.0,124.0,9176.0,74.0,390.0,3578640.0
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,11,GUASAVE,6900,CARTAMO,0,,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,10.0,0.0,10.0,0.0,0.0,0.0,0.0
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,11,GUASAVE,7400,CEBOLLA,100,BLANCA,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,11.0,11.0,0.0,154.0,14.0,2255.0,347270.0
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,11,GUASAVE,11400,CHILE VERDE,200,JALAPEÑO,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,474.0,272.2,201.8,2110.8,7.76,3450.0,7282260.0
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,11,GUASAVE,11400,CHILE VERDE,900,SERRANO,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,156.0,0.0,156.0,0.0,0.0,0.0,0.0
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,11,GUASAVE,11400,CHILE VERDE,1200,BELL PEPPER,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,35.0,0.0,35.0,0.0,0.0,0.0,0.0
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,11,GUASAVE,11400,CHILE VERDE,3600,BELL PEPPER MALLA SOMBRA,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,200.0,114.0,86.0,1952.0,17.12,3500.0,6832000.0
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,11,GUASAVE,12600,EJOTE,0,,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,195.0,195.0,0.0,877.0,4.5,2000.0,1754000.0
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,11,GUASAVE,14200,FRIJOL,100,AZUFRADO,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,9771.0,7817.0,1954.0,8208.0,1.05,11999.78,98494194.24
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,11,GUASAVE,14200,FRIJOL,500,MAYOCOBA,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,1330.0,1064.0,266.0,1117.0,1.05,12002.15,13406401.55
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,11,GUASAVE,14700,GARBANZO GRANO,100,BLANCO,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,851.0,0.0,851.0,0.0,0.0,0.0,0.0
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,11,GUASAVE,16930,HORTALIZAS,0,,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,51.0,0.0,51.0,0.0,0.0,0.0,0.0
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,11,GUASAVE,19700,MAIZ GRANO,100,AMARILLO,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,124.0,0.0,124.0,0.0,0.0,0.0,0.0
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,11,GUASAVE,19700,MAIZ GRANO,200,BLANCO,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,51727.51,25397.51,26330.0,182862.07,7.2,3751.88,686076543.2
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,11,GUASAVE,22400,NARANJA,400,VALENCIA,500,Tonelada,3,PERENNES,1,RIEGO,231.0,178.0,53.0,2492.0,14.0,2450.0,6105400.0
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,11,GUASAVE,24400,PAPA,100,ALPHA (Blanca),500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,3637.0,3637.0,0.0,81432.0,22.39,7000.0,570024000.0
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,11,GUASAVE,24800,PASTOS Y PRADERAS EN VERDE,0,,500,Tonelada,3,PERENNES,1,RIEGO,83.0,83.0,0.0,684.75,8.25,650.0,445087.5
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,11,GUASAVE,24900,PEPINO,0,,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,89.0,89.0,0.0,2225.0,25.0,3608.09,8028000.25
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,11,GUASAVE,29500,SORGO GRANO,0,,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,17018.0,17018.0,0.0,126443.74,7.43,3800.0,480486212.0
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,11,GUASAVE,30800,TOMATE ROJO (JITOMATE),800,SALADETTE,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,804.0,537.0,267.0,9995.6,18.61,3395.01,33935161.96
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,11,GUASAVE,30800,TOMATE ROJO (JITOMATE),1500,SALADETTE MALLA SOMBRA,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,250.0,167.0,83.0,5844.4,35.0,3402.0,19882648.8
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,11,GUASAVE,31000,TOMATE VERDE,0,,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,902.0,902.0,0.0,6855.2,7.6,1450.0,9940040.0
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,11,GUASAVE,31500,TRIGO GRANO,100,CRISTALINO,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,160.0,160.0,0.0,712.0,4.45,3700.0,2634400.0
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,11,GUASAVE,32250,VARIOS,0,,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,37.0,0.0,37.0,0.0,0.0,0.0,0.0
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,11,GUASAVE,32250,VARIOS,0,,500,Tonelada,2,PRIMAVERA-VERANO,1,RIEGO,237.0,237.0,0.0,1801.2,7.6,3500.0,6304200.0
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,17,SINALOA,1600,ALFALFA ACHICALADA,0,,500,Tonelada,3,PERENNES,1,RIEGO,108.0,108.0,0.0,1938.6,17.95,2250.0,4361850.0
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,17,SINALOA,1800,ALGODÓN HUESO,0,,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,58.0,0.0,58.0,0.0,0.0,0.0,0.0
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,17,SINALOA,6500,CAÑA DE AZUCAR,200,INDUSTRIAL,500,Tonelada,3,PERENNES,1,RIEGO,67.0,67.0,0.0,4824.0,72.0,390.0,1881360.0
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,17,SINALOA,6900,CARTAMO,0,,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,36.0,0.0,36.0,0.0,0.0,0.0,0.0
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,17,SINALOA,11400,CHILE VERDE,200,JALAPEÑO,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,170.0,100.0,70.0,950.0,9.5,2800.0,2660000.0
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,17,SINALOA,12600,EJOTE,0,,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,35.0,35.0,0.0,157.0,4.49,2000.0,314000.0
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,17,SINALOA,14200,FRIJOL,100,AZUFRADO,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,538.0,430.0,108.0,430.0,1.0,12000.0,5160000.0
